Unnamed: 0,track_id,artist,song,release_date,total_weeks,peak_position,peak_streams,total_streams,release_month,release_season,first_peak_date,peak_season,language,genre,popularity,bpm,energy,danceability,loudness,valence,length,acousticness,artist_seperation,debut_position
1768,24OKb78jzb0IEUKlNWnfcR,pharaoh,халливуд хоус,2022-03-25,3,16,68872,133757,3.0,Spring,2022-03-31,Spring,Russian,Hip Hop,37.0,112.0,66.0,90.0,-9.0,40.0,146.0,3.0,37.0,16
1769,10EdfwW2FDCp4I9kyy52YB,morgenshtern,b,2020-10-23,2,15,90898,133755,10.0,Fall,2022-10-27,Fall,Russian,Hip Hop,49.0,150.0,73.0,83.0,-4.0,83.0,116.0,3.0,49.0,15
1770,0XLRzuKfJ68J8DEBftbMst,kalush orchestra,нумо козаки (kalush orchestra feat. kozak siromaha),2022-12-02,4,70,39925,133651,12.0,Winter,2022-12-08,Winter,Ukrainian,,37.0,115.0,60.0,80.0,-7.0,36.0,167.0,3.0,37.0,70
1771,1cRUx8cr69PgdEOEfr3odF,zxcursed,quinque,2022-07-15,4,46,46145,133410,7.0,Summer,2022-07-21,Summer,Russian,,43.0,100.0,88.0,58.0,-2.0,61.0,151.0,0.0,43.0,46
1772,3KWM2xT2wb0J4lUEjYrfJH,voskresenskii,я не употребляю,2024-07-26,3,105,49938,133028,7.0,Summer,2024-08-15,Summer,Russian,,49.0,148.0,75.0,72.0,-6.0,62.0,139.0,0.0,49.0,168
1773,3oFXd7mzOSYfcXsC4RAnvt,анна трінчер,треш,2024-12-12,3,96,52452,132975,12.0,Winter,2024-12-19,Winter,Ukrainian,,50.0,150.0,58.0,64.0,-8.0,38.0,177.0,20.0,50.0,96
1774,0nRHEaNyuj3hN2O5Vswe05,nbsplv,downpour,2017-01-15,3,70,50254,132815,1.0,Winter,2023-04-06,Spring,,,51.0,108.0,50.0,79.0,-10.0,89.0,207.0,5.0,51.0,70
1775,5mT4HIBmQUgUklyPvS1kWM,gone.fludd,ufo luv,2021-09-15,4,14,54300,132339,9.0,Fall,2021-02-25,Winter,Russian,Hip Hop,37.0,89.0,74.0,64.0,-5.0,76.0,287.0,54.0,38.0,14
1776,0rJ0G0gJomdi076uYy4c6A,tima belorusskih,тебе лучше не знать,2021-04-23,5,39,33763,132105,4.0,Spring,2021-04-29,Spring,Russian,,52.0,130.0,42.0,81.0,-10.0,55.0,185.0,11.0,52.0,39
1777,6i5qhmmF9UNUBRyrPSGn4m,linkin park,two faced,2024-11-15,2,23,87954,132100,11.0,Fall,2024-11-21,Fall,English,Rock,79.0,92.0,95.0,51.0,-5.0,32.0,184.0,0.0,79.0,23
1778,0gVnVIsEXNNqXPvKRAm4fC,shadowraze,jdm nfs,2023-06-09,3,74,50333,131548,6.0,Summer,2023-06-15,Summer,Russian,,45.0,95.0,72.0,70.0,-3.0,39.0,146.0,0.0,45.0,74
1779,2TjujkX0w8apgsaeOP1BTx,кажанна,ти гірка.,2023-08-08,3,75,48966,131431,8.0,Summer,2023-08-24,Summer,Ukrainian,,34.0,164.0,83.0,71.0,-7.0,27.0,170.0,2.0,34.0,129
1780,4axPoX69v4X3ehUlr2vZml,kirkiimad,лего,2021-04-30,4,98,36288,130890,4.0,Spring,2021-12-02,Winter,Russian,,29.0,100.0,59.0,95.0,-7.0,56.0,143.0,65.0,29.0,138
1781,1LAlLBTGBUO0MDA8IbSysd,twenty one pilots,overcompensate,2024-05-24,2,33,84355,130812,5.0,Spring,2024-03-07,Spring,English,Rock,70.0,95.0,89.0,36.0,-6.0,33.0,236.0,1.0,70.0,33
1782,1AZlrB115OgwTVA948JiTI,curtis waters,stunnin',2020-10-09,11,54,4636,130777,10.0,Fall,2020-07-16,Summer,English,Electronic,61.0,100.0,69.0,89.0,-6.0,94.0,144.0,33.0,61.0,54
1783,2yHBHuecrQ1uhrqn7NlVaB,rocket,super fly,2021-03-12,5,34,40106,130763,3.0,Spring,2021-03-18,Spring,Russian,Rock,33.0,141.0,43.0,86.0,-6.0,14.0,84.0,1.0,33.0,34
1784,0aQrFzB5puD3KTK0SM6nsi,og buda,фэм,2021-09-24,4,51,46195,130674,9.0,Fall,2021-09-30,Fall,Russian,,33.0,162.0,48.0,69.0,-11.0,58.0,166.0,18.0,33.0,51
1785,6fyQVDmueOJWskMaUacp7t,morgenshtern,bestie,2022-10-21,2,18,88794,130564,10.0,Fall,2022-10-27,Fall,Russian,Hip Hop,38.0,96.0,31.0,93.0,-7.0,19.0,115.0,19.0,38.0,18
1786,6HZ9VeI5IRFCNQLXhpF4bq,icona pop,i love it,2013-08-27,3,140,45316,130079,8.0,Summer,2024-04-04,Spring,English,Electronic,74.0,126.0,91.0,71.0,-3.0,82.0,157.0,1.0,75.0,186
1787,,logan harris,castle in the sky,,4,6,49141,130071,,,2020-09-24,Fall,,Jazz,,,,,,,,,,90
1788,6bqT9F2wP82zkBqMpIz0G5,boulevard depo,азбука,2021-12-10,3,40,59399,129850,12.0,Winter,2021-12-16,Winter,Russian,,38.0,102.0,63.0,77.0,-9.0,8.0,127.0,13.0,38.0,40
1789,1WMUqe3wdl3gYBzOmVpzWJ,instasamka,снова?,2022-04-21,4,57,38571,129648,4.0,Spring,2022-04-28,Spring,Russian,,38.0,174.0,47.0,82.0,-8.0,31.0,130.0,0.0,38.0,57
1790,39JofJHEtg8I4fSyo7Imft,eliza rose,b.o.t.a. (baddest of them all) - edit,2022-08-12,4,118,35076,129591,8.0,Summer,2022-09-22,Fall,English,Electronic,74.0,137.0,92.0,73.0,-7.0,73.0,227.0,16.0,74.0,123
1791,23boxKGgsZrE4W2KrWfhZR,kizaru,g shit,2020-11-13,5,12,62933,129496,11.0,Fall,2020-11-19,Fall,Russian,Hip Hop,34.0,123.0,61.0,82.0,-8.0,41.0,201.0,10.0,34.0,12
1792,0aB0v4027ukVziUGwVGYpG,kendrick lamar,tv off,2024-11-22,3,125,45032,129232,11.0,Fall,2025-02-20,Winter,English,Hip Hop,94.0,100.0,53.0,86.0,-7.0,55.0,221.0,8.0,94.0,146
1793,772bNQ8WjMAXwiBywGcHb7,my,пожар,2017-02-14,4,77,36571,129015,2.0,Winter,2021-10-07,Fall,Russian,Electronic,42.0,120.0,75.0,58.0,-9.0,12.0,237.0,66.0,42.0,77
1794,0JZoLAM2BGndAokv3TwGfJ,parfeniuk,поряд,2023-08-04,3,67,52013,128895,8.0,Summer,2023-08-10,Summer,Ukrainian,,35.0,166.0,59.0,68.0,-5.0,77.0,142.0,37.0,35.0,67
1795,3JlIUrzdTsW3tpFiwYOpJJ,9mice,2017,2024-09-13,2,44,77945,128785,9.0,Fall,2024-09-19,Fall,Russian,Electronic,53.0,161.0,61.0,72.0,-3.0,45.0,131.0,0.0,53.0,44
1796,2r7BPog74oaTG5shNYiUnV,the weeknd,house of balloons / glass table girls - original,2011-03-21,3,124,45950,128652,3.0,Spring,2024-01-25,Winter,,Electronic,78.0,89.0,51.0,66.0,-8.0,23.0,407.0,0.0,78.0,143
1797,3BKreoEA5wRNk5o96NIBpL,kizaru,trap shark,2022-07-01,3,18,72566,128261,7.0,Summer,2022-07-07,Summer,Russian,Hip Hop,33.0,158.0,42.0,87.0,-10.0,74.0,146.0,4.0,33.0,18
